,Start,End
0,2022-04-18 11:14:39.282572,2022-04-18 11:14:39.349342
1,2022-04-18 11:14:39.476236,2022-04-18 11:14:39.620759
2,2022-04-18 11:14:41.046100,2022-04-18 11:14:41.193970
3,2022-04-18 11:14:41.312384,2022-04-18 11:14:41.460956
4,2022-04-18 11:14:41.541677,2022-04-18 11:14:41.869979
5,2022-04-18 11:14:42.495063,2022-04-18 11:14:42.572197
6,2022-04-18 11:14:42.665225,2022-04-18 11:14:42.758810
7,2022-04-18 11:14:43.298558,2022-04-18 11:14:43.509455
8,2022-04-18 11:14:43.621305,2022-04-18 11:14:43.712999
9,2022-04-18 11:14:44.022540,2022-04-18 11:14:44.133384
10,2022-04-18 11:14:44.209006,2022-04-18 11:14:44.392487
11,2022-04-18 11:14:45.078589,2022-04-18 11:14:45.195505
12,2022-04-18 11:14:45.281450,2022-04-18 11:14:45.352757
13,2022-04-18 11:14:45.905999,2022-04-18 11:14:46.076988
14,2022-04-18 11:14:46.152848,2022-04-18 11:14:46.218030
15,2022-04-18 11:14:46.610999,2022-04-18 11:14:46.690214
16,2022-04-18 11:14:47.049862,2022-04-18 11:14:47.388262
17,2022-04-18 11:14:47.555243,2022-04-18 11:14:47.621367
18,2022-04-18 11:14:47.699427,2022-04-18 11:14:47.858491
19,2022-04-18 11:14:47.934688,2022-04-18 11:14:47.995148
20,2022-04-18 11:14:48.190720,2022-04-18 11:14:48.579385
21,2022-04-18 11:14:48.732363,2022-04-18 11:14:48.804222
